Nazwisko	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
RoSt	54	67	59	97	119	123	123	-	-	-	-	79	79	76	80	80	72	-	-	-	-
RoSz	-	-	91	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RoWe	7	14	5	6	7	10	10	6	8	12	40	-	-	-	-	-	-	-	-	-	-
RoiAnLe	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	88	-
RoiGrKa	-	-	-	-	9	5	5	2	2	6	9	7	12	12	6	12	12	9	26	43	43
RoŚc	-	-	-	-	-	-	-	-	-	-	-	-	-	-	84	84	-	-	-	-	-
RuSk	46	53	70	72	82	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RyFl	-	-	-	-	-	-	-	-	-	-	-	26	26	-	24	24	21	60	28	62	57
RyFlzro	-	56	27	35	40	37	37	38	34	44	41	38	-	25	-	-	-	-	-	-	-
RyKr	3	3	4	4	2	7	7	10	5	7	30	22	-	36	-	-	-	-	-	-	-
RyPi	73	68	-	81	95	104	104	69	93	-	-	-	-	-	-	-	-	-	-	-	-
RyVa	-	-	53	39	46	49	49	47	84	92	65	63	-	-	-	-	-	-	-	-	-
RyiEwLe	-	-	-	-	-	-	-	-	-	-	-	-	-	-	76	76	54	-	70	85	-
RyŚc	95	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SeKu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	3	6
SeMa	-	-	-	-	-	98	98	87	-	-	-	-	-	-	-	-	-	-	-	-	-
SeĆw	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	65	52	49
SoZa	14	20	29	32	35	38	38	43	25	32	33	33	-	-	-	-	-	-	-	-	-
SoiKrOl	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	48	-	-	-
StBi	-	-	-	-	-	-	-	-	-	-	-	43	43	55	27	27	20	45	-	-	-
StCi	13	35	16	18	23	39	39	72	-	-	-	-	-	-	-	-	-	-	-	-	-
StHa	-	-	-	-	85	75	75	73	88	94	99	67	60	60	56	62	62	53	71	71	-
StKu	-	-	-	-	-	-	-	-	88	97	-	-	-	-	-	-	-	-	-	-	-
StRo	-	-	-	-	-	132	132	-	-	-	86	-	-	-	-	-	-	-	-	-	-
StTy	91	72	48	89	90	119	119	99	-	-	-	-	-	-	-	-	-	-	-	-	-
